"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T7NJFV2M","forumPost","1996","Connolly, Dan","Re: Python, Tcl and Perl, oh my! (was Re: tcl vs. perl)","comp.lang.perl.misc","","","","http://groups.google.com/groups?selm=yprnlohbundt.fsf%40anansi.w3.org&output=gplain","","1996-06-26","2013-08-09 02:36:44","2013-08-09 02:37:59","","","","","","","","","","","","","","","","","","","","","","comp.lang.perl.misc, comp.lang.tcl, comp.lang.perl.tk, comp.lang.python","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZZEDNQ3","bookSection","1997","Connolly, Dan","An Evaluation of the World Wide Web as a Platform for Electronic Commerce","Readings in Electronic Commerce","","","","","","1997-12","2013-08-09 02:34:31","2013-08-09 02:35:47","","","","","","","","","","","","","Addison-Wesley","","","","","","","","","by Ravi Kalakota and Andrew B. Whinston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UB38ZCPE","magazineArticle","2005","Connolly, Dan","Untangle URIs, URLs, and URNs","IBM developerWorks","","","","http://www-128.ibm.com/developerworks/xml/library/x-urlni.html","In information management, persistence and availability are in constant tension. This tension has led to separate technologies for Uniform Resource Names (URNs) and Uniform Resource Locators (URLs). Meanwhile, Uniform Resource Identifiers (URIs) are designed to serve as both persistent names and available locations. This article explains how to use the current URI standards with XML technologies, gives a history of URNs and URLs, and provides a perspective on the tension between persistence and availability.","2005-06","2013-08-09 02:32:10","2013-08-09 02:33:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HZ4HNN6","blogPost","2006","Connolly, Dan","Celebrating OWL interoperability and spec quality","Breadcrumbs","","","","http://dig.csail.mit.edu/breadcrumbs/node/171","","2006-11","2013-08-09 02:28:38","2013-08-09 02:29:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2KSRFAI","report","1995","Berners-Lee, Tim; Connolly, Dan","Hypertext markup language-2.0","","","","","https://datatracker.ietf.org/doc/html/rfc1866/","","1995-11","2013-08-09 00:43:15","2021-12-25 23:23:47","","","","","","","","","","","","","IETF","","","All rights reserved","RFC","","","","","","","/home/connolly/Zotero/storage/C89W6TCS/rfc1866.txt; /home/connolly/Zotero/storage/W39X92PA/rfc1866.pdf","","","","","","","","","","","","","","","","","","","","","","1866","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFUKBCK9","bookSection","1996","Connolly, Dan","A Lexical Analyzer for HTML and Basic SGML","The Web After Five Years","","","","http://www.w3.org/MarkUp/SGML/sgml-lex/sgml-lex","The Standard Generalized Markup Language (SGML) is a complex system for developing markup languages. It is used to define the Hypertext Markup Language (HTML) used in the World Wide Web, as well as several other hypermedia document representations. ""Systems with interactive performance constraints use only the simplest features of SGML. Unfortunately, the specification of those features is subtly mixed into the specification of SGML in all its generality. As a result, a number of ad-hoc SGML lexical analyzers have been developed and deployed on the Internet, and reliability has suffered. ""We present a self-contained specification of a lexical analyzer that uses automated parsing techniques to handle SGML document types limited to a tractable set of SGML features. An implementation is available as well.""","1996","2013-08-09 00:43:15","2013-08-09 02:26:16","","","","","","","","","","","","","O'Reilly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ269NCJ","magazineArticle","1997","Connolly, Dan; Khare, Rohit; Rifkin, Adam","The evolution of web documents: The ascent of XML","World Wide Web Journal","","","","http://www.xml.com/pub/a/w3j/s3.connolly.html","","1997","2013-08-09 00:43:15","2013-08-09 02:23:21","","119–128","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBAS8XD9","report","1998","Berners-Lee, Tim; Connolly, Dan","Notation3 (N3): A readable RDF syntax","","","","","http://www.w3.org/TeamSubmission/n3/","The Resource Description Framework (RDF) is a general-purpose language for representing information in the Web. This document defines Notation 3 (also known as N3), an assertion and logic language which is a superset of RDF. N3 extends the RDF datamodel by adding formulae (literals which are graphs themselves), variables, logical implication, and functional predicates, as well as providing an textual syntax alternative to RDF/XML.","1998","2013-08-09 00:43:15","2013-08-09 02:23:04","","","","","","","","","","","","W3C Technical Reports","","","","","W3C Team Submission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EKNV4FV","report","2000","Connolly, D; Masinter, L","The ’text/html’Media Type","","","","","http://www.rfc-editor.org/rfc/rfc2854.txt","This document summarizes the history of HTML development, and defines    the ""text/html"" MIME type by pointing to the relevant W3C    recommendations; it is intended to obsolete the previous IETF    documents defining HTML, including RFC 1866, RFC 1867, RFC 1980, RFC    1942 and RFC 2070, and to remove HTML from IETF Standards Track.    This document was prepared at the request of the W3C HTML working    group. Please send comments to www-html@w3.org, a public mailing list    with archive at <http://lists.w3.org/Archives/Public/www-html/>.","2000-06","2013-08-09 00:43:15","2013-08-09 02:20:29","","","","","","","","","","","","Request For Comments","IETF","","","","Informational","","","","","RFC 2070, RFC 1980, RFC 1867, RFC 1942 Obsoletes: RFC 1866, Status of this Memo This document is an Internet-Draft and is in full conformance with all provisions of Section 10 of RFC 2026.","","","","","","","","","","","","","","","","","","","","","","","","2854","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU2EJQXK","book","1996","","World Wide Web journal: key specifications of the World Wide Web","","1-56592-190-9","","","","","1996-05","2013-08-09 00:43:15","2013-08-09 02:18:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","Connolly, Dan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBK7RE2W","magazineArticle","1998","Connolly, Dan","The XML Revolution","Nature Web Matters","","","","http://www.nature.com/nature/webmatters/xml/xml.html","","1998-10-01","2013-08-09 00:43:15","2013-08-09 02:13:29","","","","","","","","","","","","","","","","All rights reserved","","","","","","World Wide Web Consortium: http://www. w3. org/People/Connolly/9810xn. html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GR5Q2SWC","manuscript","2003","Berners-Lee, Tim; Connolly, Dan; Hawke, Sandro","Primer: Getting into RDF & Semantic Web using N3","","","","","http://www.w3.org/2000/10/swap/Primer.html","","2003-05","2013-08-09 00:43:15","2013-08-09 02:09:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZ4P375Q","book","1998","Tittel, Ed; Chandak, Ramesh; Mikula, Norbert; Connolly, Dan","XML for Dummies","","","","","","","1998","2013-08-09 00:43:15","2013-08-09 02:03:17","","","","","","","","","","","","","IDG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3N3VP6PM","report","1999","Berners-Lee, Tim; Connolly, Dan; Swick, Ralph R","Web Architecture: Describing and Exchanging Data","","","","","http://www.w3.org/1999/04/WebData","","1999-06-07","2013-08-09 00:43:15","2013-08-09 02:00:57","","","","","","","","","","","","W3C Technical Reports","W3C","","","All rights reserved","W3C Note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2GB76RX","report","1997","Connolly, Dan; Bosak, Jon","Extensible markup language (XML)","","","","","http://www.w3.org/XML/","","1997","2013-08-09 00:43:15","2013-08-09 01:58:53","","","","","","","","","","","","","W3C","","","","W3C Activity Group page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27IH3IGP","book","1997","","XML: Principles, tools and techniques","","1-56592-349-9","","","","","1997","2013-08-09 00:43:15","2013-08-09 01:45:11","","","","","","","","","","","","","","","","All rights reserved","","","","","","","","","","","","Connolly, Dan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49A5556Q","webpage","2000","Connolly, Dan; Cailliau, Robert","A little history of the World Wide Web","World Wide Web Consortium","","","","http://www.w3.org/History.html","from 1945 to 1995","2000","2013-08-09 00:43:15","2013-08-09 01:42:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77VNX2ZN","report","2001","Connolly, Dan; Van Harmelen, Frank; Horrocks, Ian; McGuinness, Deborah L; Patel-Schneider, Peter F; Stein, Lynn Andrea","DAML+ OIL (March 2001) reference description","","","","","http://www.w3.org/TR/daml+oil-reference","DAML+OIL is a semantic markup language for Web resources. It builds on earlier W3C standards such as RDF and RDF Schema, and extends these languages with richer modelling primitives. DAML+OIL provides modelling primitives commonly found in frame-based languages. DAML+OIL (March 2001) extends DAML+OIL (December 2000) with values from XML Schema datatypes. DAML+OIL was built from the original DAML ontology language DAML-ONT (October 2000) in an effort to combine many of the language components of OIL. The language has a clean and well defined semantics.","2001","2013-08-09 00:43:15","2013-08-09 01:41:11","","","","","","","","","","","","W3C Technical Reports","W3C","","","","W3C Note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SDTS2VM","webpage","2001","Connolly, Dan; Thompson, Henry","XML schema","","","","","http://www.w3.org/XML/Schema","","2001-07","2013-08-09 00:43:15","2013-08-09 01:40:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HPNSF4K","report","2002","Dean, Mike; Connolly, Dan; van Harmelen, Frank; Hendler, James; Horrocks, Ian; McGuinness, Deborah L; Patel-Schneider, Peter F; Stein, Lynn Andrea","Web ontology language (OWL) reference version 1.0","","","","","http://www.w3.org/TR/2002/WD-owl-ref-20021112/","","2002-11-12","2013-08-09 00:43:15","2013-08-09 01:38:42","","","","","","","","","","","","W3C Technical Reports","W3C","","","","W3C Working Draft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFMZKAN2","manuscript","2007","Berners-Lee, Tim; Kolovski, Vladimir; Connolly, Dan; Hendler, James; Scharf, Yoseph","A Reasoner for the Web","","","","","http://www.w3.org/2000/10/swap/doc/paper/","","2007","2013-08-09 00:43:15","2013-08-09 01:37:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITWU8EV7","manuscript","2004","Berners-Lee, Tim; Connolly, Dan","Delta: an ontology for the distribution of differences between RDF graphs","","","","","http://www.w3.org/DesignIssues/Diff","The problem of updating and synchronizing data in the Semantic Web motivates an analog to text diffs for RDF graphs. This paper discusses the problem of comparing two RDF graphs, generating a set of differences, and updating a graph from a set of differences. It discusses two forms of difference information, the context-sensitive weak patch, and the context-free strong patch. It gives a proposed update ontology for patch files for RDF, and discusses experience with proof of concept code.","2004","2013-08-09 00:43:15","2013-08-09 01:36:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHZARGVA","presentation","2003","Berners-Lee, Tim; Connolly, Dan; Hawke, Sandro","Semantic web tutorial using n3","","","","","http://www.w3.org/2000/10/swap/doc/","","2003-05","2013-08-09 00:43:15","2013-08-09 01:36:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twelfth International World Wide Web Conference","","","","","","","","","","","","","","","",""
"GKS78CXT","report","2004","Berners-Lee, Tim; Bray, Tim; Connolly, Dan; Cotton, Paul; Fielding, Roy; Jeckle, Mario; Lilley, Chris; Mendelsohn, Noah; Orchard, David; Walsh, Norman; others","Architecture of the world wide web, volume one","","","","","http://www.w3.org/TR/2004/REC-webarch-20041215/","","2004-12-15","2013-08-09 00:43:15","2013-08-09 01:34:03","","","","","","","","","","","","W3C Technical Reports","W3C","","","","Recommendation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GXM8849","bookSection","2005","Weitzner, Daniel J; Hendler, Jim; Burners-Lee, Tim; Connolly, Dan","Creating a Policy-Aware Web: Discretionary, Rule-Based Access","Web and Information Security","978-1-59140-588-7","","","http://www.w3.org/2004/09/Policy-Aware-Web-acl.pdf","","2005","2013-08-09 00:43:15","2013-08-09 01:31:38","","1–31","","","","","","","","","","","","","","","","","","","","","","/home/connolly/Zotero/storage/IXHQZ74T/Policy-Aware-Web-acl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUABKFV7","conferencePaper","2006","Connolly, Dan","A pragmatic theory of reference for the web","Proceedings of Identity, Reference, and the Web Workshop at the WWW Conference","","","","http://www.w3.org/2006/04/irw65/urisym.html‎","","2006-05-23","2013-08-09 00:43:15","2021-12-30 20:11:25","","","","","","","","","","","","","","Edinburgh, Scotland","","","","","","","","","","","","2021-annual-purge; binder-semantic-web-research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Identity, Reference, and the Web","","","","","","","","","","","","","","",""
"PDCE4BCK","journalArticle","2008","Berners-Lee, Tim; Connolly, Dan; Kagal, Lalana; Scharf, Yosi; Hendler, Jim","N3Logic: A logic for the web","Journal of Theory and Practice of Logic Programming (TPLP), Special Issue on Logic Programming and the Web","","","http://dx.doi.org/10.1017/S1471068407003213","http://dl.acm.org/citation.cfm?id=1394707","The Semantic Web drives toward the use of the Web for interacting with logically interconnected data. Through knowledge models such as Resource Description Framework (RDF), the Semantic Web provides a unifying representation of richly structured data. Adding logic to the Web implies the use of rules to make inferences, choose courses of action, and answer questions. This logic must be powerful enough to describe complex properties of objects but not so powerful that agents can be tricked by being asked to consider a paradox. The Web has several characteristics that can lead to problems when existing logics are used, in particular, the inconsistencies that inevitably arise due to the openness of the Web, where anyone can assert anything. N3Logic is a logic that allows rules to be expressed in a Web environment. It extends RDF with syntax for nested graphs and quantified variables and with predicates for implication and accessing resources on the Web, and functions including cryptographic, string, math. The main goal of N3Logic is to be a minimal extension to the RDF data model such that the same language can be used for logic and data. In this paper, we describe N3Logic and illustrate through examples why it is an appropriate logic for the Web.","2008-05","2013-08-09 00:43:15","2013-08-09 01:14:53","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64CW7AVW","conferencePaper","2006","Brachman, Ron; Connolly, Dan; Khare, Rohit; Smadja, Frank; van Harmelen, Frank","Meaning on the web: evolution vs intelligent design?","Proceedings of the 15th international conference on World Wide Web","","","","","","2006","2013-08-09 00:43:15","2013-08-09 00:43:15","","745–745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8M66SCKN","conferencePaper","2006","Kagal, Lalana; Berners-Lee, Tim; Connolly, Dan; Weitzner, Daniel","Self-describing delegation networks for the Web","Policies for Distributed Systems and Networks, 2006. Policy 2006. Seventh IEEE International Workshop on","","","","","","2006","2013-08-09 00:43:15","2013-08-09 00:43:15","","10–pp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHBSNP6I","journalArticle","2006","Berners-Lee, Tim; Chen, Yuhsin; Chilton, Lydia; Connolly, Dan; Dhanaraj, Ruth; Hollenbach, James; Lerer, Adam; Sheets, David","Tabulator: Exploring and analyzing linked data on the semantic web","Proceedings of the 3rd International Semantic Web User Interaction Workshop","","","","","","2006","2013-08-09 00:43:15","2013-08-09 00:43:15","","","","","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZNQIQUM","journalArticle","2011","Waitman, Lemuel R.; Warren, Judith J.; Manos, E. LaVerne; Connolly, Daniel W.","Expressing Observations from Electronic Medical Record Flowsheets in an i2b2 based Clinical Data Repository to Support Research and Quality Improvement","AMIA Annual Symposium Proceedings","","1942-597X","","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243191/","While nursing documentation in electronic medical record (EMR) flowsheets may represent the largest investment of clinician time with information systems, organizations lack tools to visualize and repurpose this data for research and quality improvement. Incorporating flowsheet documentation into a clinical data repository and methods to reduce the flowsheet ontology’s redundancy are described. 411 million flowsheet observations, derived from an EMR predominantly used in inpatient, outpatient oncology, and emergency room settings, were incorporated into a repository using the i2b2 framework. The local flowsheet ontology contained 720 “templates” employing 5,379 groups (2,678 distinct), 37,836 measures (13,659 distinct) containing 226,666 choices for a total size of 270,641. Aggressive pruning and clustering resulted in 150 templates, 743 groups (615 distinct), 6,950 measures (4,066 distinct) with 22,497 choices, and size of 30,371. Making nursing data accessible within i2b2 provides a new perspective for contributing clinical organizations and heightens collaboration between the academic and clinical activities.","2011","2013-08-09 00:28:36","2013-08-09 00:28:36","2013-08-09 00:28:36","1454-1463","","","2011","","AMIA Annu Symp Proc","","","","","","","","","","","","","PubMed Central","","PMID: 22195209 PMCID: PMC3243191","","/home/connolly/Zotero/storage/BKJZ7AHC/Waitman et al. - 2011 - Expressing Observations from Electronic Medical Re.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243191/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ64URTI","journalArticle","1992","Hutton, Graham","Higher-Order Functions for Parsing","Journal of Functional Programming","","","10.1017/S0956796800000411","http://journals.cambridge.org/action/search","In combinator parsing, the text of parsers resembles BNF notation. We present the basic method, and a number of extensions. We address the special problems presented by white-space, and parsers with separate lexical and syntactic phases. In particular, a combining form for handling the ‘offside rule’ is given. Other extensions to the basic method include an ‘into’ combining form with many useful applications, and a simple means by which combinator parsers can produce more informative error messages.","1992","2010-05-26 19:24:30","2010-05-26 19:24:30","2010-05-26 19:24:30","323-343","","03","2","","","","","","","","","","","","","","","Cambridge Journals Online","","","","; /home/connolly/Zotero/storage/INUVIPI2/search.html","http://www.cs.nott.ac.uk/~gmh/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
